"EKATTE","Postcode","Name","Mun_code","Mun_name","Reg_code","Reg_name"
65471,5184,Петко Каравелово,VTR26,Полски Тръмбеш,VTR,Велико Търново
51295,5231,Недан,VTR22,Павликени,VTR,Велико Търново
55196,5136,Паисий,VTR06,Горна Оряховица,VTR,Велико Търново
63077,7784,Росина,TGV35,Търговище,TGV,Търговище
35657,5160,Камен,VTR31,Стражица,VTR,Велико Търново
65557,7877,Светлен,TGV24,Попово,TGV,Търговище
22160,5226,Долна Липница,VTR22,Павликени,VTR,Велико Търново
47634,7863,Медовина,TGV24,Попово,TGV,Търговище
44046,5172,Лозен,VTR31,Стражица,VTR,Велико Търново
57875,7853,Посабина,TGV24,Попово,TGV,Търговище
30079,7881,Заветно,TGV24,Попово,TGV,Търговище
15895,7789,Голямо ново,TGV35,Търговище,TGV,Търговище
11140,5171,Виноград,VTR31,Стражица,VTR,Велико Търново
51799,5169,Нова Върбовка,VTR31,Стражица,VTR,Велико Търново
32175,5194,Иванча,VTR26,Полски Тръмбеш,VTR,Велико Търново
05133,7135,Лом Черковна,RSE04,Бяла,RSE,Русе
53014,5195,Обединение,VTR26,Полски Тръмбеш,VTR,Велико Търново
61279,5185,Раданово,VTR26,Полски Тръмбеш,VTR,Велико Търново
57649,7800,Попово,TGV24,Попово,TGV,Търговище
02823,5228,Батак,VTR22,Павликени,VTR,Велико Търново
11716,7851,Водица,TGV24,Попово,TGV,Търговище
10080,5911,Варана,PVN16,Левски,PVN,Плевен
53905,5187,Орловец,VTR26,Полски Тръмбеш,VTR,Велико Търново
37469,7852,Ковачевец,TGV24,Попово,TGV,Търговище
41246,5183,Климентово,VTR26,Полски Тръмбеш,VTR,Велико Търново
67475,5229,Сломер,VTR22,Павликени,VTR,Велико Търново
57354,5180,Полски Тръмбеш,VTR26,Полски Тръмбеш,VTR,Велико Търново
36470,7830,Кардам,TGV24,Попово,TGV,Търговище
36289,5230,Караисен,VTR22,Павликени,VTR,Велико Търново
54208,7862,Осиково,TGV24,Попово,TGV,Търговище
23738,7834,Дриново,TGV24,Попово,TGV,Търговище
23916,7122,Дряновец,RSE04,Бяла,RSE,Русе
80457,5293,Червена,VTR28,Свищов,VTR,Велико Търново
36405,5188,Каранци,VTR26,Полски Тръмбеш,VTR,Велико Търново
55213,7850,Паламарца,TGV24,Попово,TGV,Търговище
