"EKATTE","Postcode","Name","Mun_code","Mun_name","Reg_code","Reg_name"
65632,5080,Светославци,VTR13,Елена,VTR,Велико Търново
55261,5083,Палици,VTR13,Елена,VTR,Велико Търново
80100,5099,Чакали,VTR13,Елена,VTR,Велико Търново
68429,5093,Средни колиби,VTR13,Елена,VTR,Велико Търново
22976,5081,Донковци,VTR13,Елена,VTR,Велико Търново
20715,5041,Дечковци,VTR04,Велико Търново,VTR,Велико Търново
30257,8843,Зайчари,SLV20,Сливен,SLV,Сливен
02191,5087,Баевци,VTR13,Елена,VTR,Велико Търново
18335,5087,Гърдевци,VTR13,Елена,VTR,Велико Търново
61435,5041,Радковци,VTR04,Велико Търново,VTR,Велико Търново
46125,5085,Майско,VTR13,Елена,VTR,Велико Търново
06344,5083,Брезово,VTR13,Елена,VTR,Велико Търново
20434,5050,Деветаците,VTR04,Велико Търново,VTR,Велико Търново
62325,5093,Раювци,VTR13,Елена,VTR,Велико Търново
83171,5087,Шилковци,VTR13,Елена,VTR,Велико Търново
27190,5070,Елена,VTR13,Елена,VTR,Велико Търново
47425,5084,Марян,VTR13,Елена,VTR,Велико Търново
06015,5041,Бояновци,VTR04,Велико Търново,VTR,Велико Търново
87326,5081,Яковци,VTR13,Елена,VTR,Велико Търново
05480,8999,Боринци,SLV11,Котел,SLV,Сливен
20027,5083,Давери,VTR13,Елена,VTR,Велико Търново
12615,5081,Вълчовци,VTR13,Елена,VTR,Велико Търново
57738,5084,Попрусевци,VTR13,Елена,VTR,Велико Търново
22455,5084,Долни Марян,VTR13,Елена,VTR,Велико Търново
06118,5041,Бранковци,VTR04,Велико Търново,VTR,Велико Търново
40779,5042,Куцаровци,VTR04,Велико Търново,VTR,Велико Търново
56011,5084,Петковци,VTR13,Елена,VTR,Велико Търново
07805,5084,Бялковци,VTR13,Елена,VTR,Велико Търново
57114,5041,Пожерник,VTR04,Велико Търново,VTR,Велико Търново
38337,5080,Константин,VTR13,Елена,VTR,Велико Търново
69821,8995,Стрелци,SLV11,Котел,SLV,Сливен
14235,5051,Габровци,VTR04,Велико Търново,VTR,Велико Търново
47158,5070,Марафелци,VTR13,Елена,VTR,Велико Търново
72641,5080,Томбето,VTR13,Елена,VTR,Велико Търново
14430,5084,Ганев дол,VTR13,Елена,VTR,Велико Търново
77178,5093,Харваловци,VTR13,Елена,VTR,Велико Търново
02498,5081,Балуци,VTR13,Елена,VTR,Велико Търново
21066,5050,Димитровци,VTR04,Велико Търново,VTR,Велико Търново
03054,5084,Беброво,VTR13,Елена,VTR,Велико Търново
